epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2502,3.64682,15.7003,0.02318,0,0,0,0,3.53885,4.962,0.04015,0.00323529,0.00323529,0.0708824
2,36.146,3.15367,11.2295,0.01708,0.01428,0.023,0.0079,0.00177,3.15658,4.51679,0.03078,0.0065036,0.0065036,0.0408173
3,43.0896,3.08064,9.30604,0.01687,0,0,0,0,4.60796,4.82009,0.05799,0.0097059,0.0097059,0.0106863
4,50.3994,3.23175,8.12757,0.01804,0.28524,0.02591,0.00633,0.00131,3.50953,5.87155,0.03762,0.009703,0.009703,0.009703
5,57.7484,3.18961,6.55183,0.01747,0.5226,0.01292,0.01014,0.00182,3.744,6.39931,0.0389,0.009604,0.009604,0.009604
6,64.9325,3.02712,5.42709,0.01554,0.52597,0.025,0.01169,0.00322,3.35994,4.13999,0.03981,0.009505,0.009505,0.009505
7,72.1574,2.94855,4.85019,0.01509,0.58121,0.04622,0.01918,0.00408,3.57543,3.98258,0.03162,0.009406,0.009406,0.009406
8,79.5344,2.81083,4.37844,0.01393,0.5345,0.06902,0.03205,0.00875,2.81122,4.258,0.02733,0.009307,0.009307,0.009307
9,86.7135,2.8496,4.18155,0.01348,0.56877,0.08185,0.04728,0.01234,2.91247,3.46894,0.02586,0.009208,0.009208,0.009208
10,93.9781,2.82671,3.9512,0.01324,0.69407,0.07614,0.04083,0.01093,3.12247,3.42679,0.02742,0.009109,0.009109,0.009109
11,101.219,2.7782,3.84275,0.01256,0.58308,0.09029,0.04949,0.01496,2.73793,3.38341,0.02714,0.00901,0.00901,0.00901
12,109.052,2.71069,3.72779,0.01255,0.6142,0.14545,0.08403,0.02623,2.73309,3.15048,0.02392,0.008911,0.008911,0.008911
13,117.621,2.69526,3.67388,0.01234,0.43347,0.12085,0.07428,0.02211,2.62752,3.13187,0.02251,0.008812,0.008812,0.008812
14,125.629,2.62696,3.59002,0.01208,0.44337,0.12247,0.08082,0.0274,2.64841,3.00143,0.02356,0.008713,0.008713,0.008713
15,133.489,2.65653,3.52088,0.01156,0.59627,0.14297,0.10884,0.03737,2.68629,2.98093,0.02554,0.008614,0.008614,0.008614
16,141.026,2.62585,3.47082,0.01156,0.60779,0.1099,0.06891,0.0195,2.85344,3.26004,0.02513,0.008515,0.008515,0.008515
17,149.253,2.62175,3.39388,0.01164,0.43492,0.18002,0.11566,0.04145,2.51467,3.12204,0.02021,0.008416,0.008416,0.008416
18,156.596,2.5756,3.3874,0.01128,0.40796,0.15309,0.12788,0.04615,2.55806,3.1629,0.02463,0.008317,0.008317,0.008317
19,165.476,2.57789,3.41774,0.01183,0.4442,0.1374,0.10082,0.03423,2.53903,2.9478,0.02125,0.008218,0.008218,0.008218
20,173.824,2.58881,3.34522,0.01125,0.35532,0.17194,0.12832,0.04322,2.62826,3.00381,0.02147,0.008119,0.008119,0.008119
21,182.818,2.53147,3.30513,0.01083,0.62279,0.13059,0.10678,0.03317,2.64425,3.17333,0.02119,0.00802,0.00802,0.00802
22,191.714,2.5152,3.26893,0.01082,0.23975,0.19307,0.12775,0.04277,2.52515,3.28857,0.02025,0.007921,0.007921,0.007921
23,200.875,2.48351,3.2431,0.01057,0.5104,0.13654,0.10597,0.03404,2.71832,3.12834,0.0218,0.007822,0.007822,0.007822
24,210.434,2.46796,3.17143,0.01026,0.4804,0.11821,0.1016,0.03288,2.57243,2.9908,0.02139,0.007723,0.007723,0.007723
25,218.21,2.45179,3.17823,0.01005,0.50404,0.17524,0.14279,0.05402,2.35355,2.90039,0.01848,0.007624,0.007624,0.007624
26,226.056,2.44431,3.14851,0.01011,0.39096,0.22109,0.15118,0.05962,2.35282,2.84402,0.01826,0.007525,0.007525,0.007525
27,234.844,2.42873,3.14221,0.01001,0.43428,0.18946,0.14376,0.04972,2.46653,2.90482,0.01781,0.007426,0.007426,0.007426
28,244.41,2.41961,3.08308,0.00978,0.5101,0.16837,0.15474,0.05954,2.34831,2.87235,0.01857,0.007327,0.007327,0.007327
29,252.755,2.4476,3.10189,0.00995,0.44535,0.16814,0.13403,0.04669,2.56373,2.9744,0.021,0.007228,0.007228,0.007228
30,260.237,2.42429,3.05715,0.00956,0.24054,0.21489,0.15046,0.05828,2.4166,2.79143,0.01698,0.007129,0.007129,0.007129
31,267.638,2.43367,3.02254,0.00984,0.33597,0.17546,0.17347,0.05998,2.44269,2.79524,0.02135,0.00703,0.00703,0.00703
